bus_no,route_name,stops_name_between_route
102,Gokul ⇆ RLY 3RD Gate,Rly 3Rd Gate → Railway Station-H → Corporation-H → Hubli Obs (Inside) → Bannigida → Quarters → Rwh → New Bus Stand-H → 1St Gate → 2Nd Gate → Akshay Park → Basaveshwara Nagar Cross → Manjunatha Nagar Cross → Silver Town Cross → Neharu Nagar Water Tank → Arjun Vihar Cross → Kec → B D K → Airport → K L E College → Gokul Cross → Anjaneya Nagar → Gokul
1020,Chaithanya Nagar ⇆ CBT-D,Cbt-D → Jubilee Circle → Lic → K C D → Dasanakoppa Cross → Canara Colony → Kusuma Nagar → Banashankeri Nagar → Sai Nagar-D → Vinayaka Nagar Cross → Chaithanya Nagar Cross → Std Booth → Chaithanya Nagar
1020,Chaithanya Nagar ⇆ CBT-D,Chaithanya Nagar → Std Booth → Chaithanya Nagar Cross → Vinayaka Nagar Cross → Sai Nagar-D → Banashankeri Nagar → Kusuma Nagar → Canara Colony → Dasanakoppa Cross → K C D → Lic → Jubilee Circle → Cbt-D
1021,Vinayaka Nagar D ⇆ CBT-D,Cbt-D → Jubilee Circle → Lic → K C D → Dasanakoppa Cross → Canara Colony → Kusuma Nagar → Banashankeri Nagar → Sai Nagar-D → Vinayaka Nagar Cross → Chaithanya Nagar Cross → Vinayaka Nagar D
1021,Vinayaka Nagar D ⇆ CBT-D,Vinayaka Nagar D → Chaithanya Nagar Cross → Vinayaka Nagar Cross → Sai Nagar-D → Banashankeri Nagar → Kusuma Nagar → Canara Colony → Dasanakoppa Cross → K C D → Lic → Jubilee Circle → Cbt-D
1024,CBT-D ⇆ Sampige Nagar,Cbt-D → Jubilee Circle → Lic → K C D → Dasanakoppa Cross → Lic Quarters → Narayanapura → German Hospital → Jambagi Hospital → Bendre Bhavana → Sadhankeri → St Antony Circle → Vikas Nagar → Bgs School → Bendre Nagar → Sampige Nagar 1St Stop → Sampige Nagar 2Nd Stop → Basavareddy College → Sampige Nagar Cross → Sampige Nagar
1024,CBT-D ⇆ Sampige Nagar,Sampige Nagar → Sampige Nagar 3Rd Stop → Sampige Nagar 1St Stop → Bendre Nagar → Bgs School → Vikas Nagar → St Antony Circle → Sadhankeri → Bendre Bhavana → Jambagi Hospital → German Hospital → Narayanapura → Lic Quarters → Dasanakoppa Cross → K C D → Lic → Jubilee Circle → Cbt-D
1025,CBT-D ⇆ Railway Station-D,Cbt-D → Jubilee Circle → Court Circle → Taluk Panchayat → Head Post Office → Yammikeri → Rama Mandira → Rms → Railway Station-D
1025,Railway Station-D4 ⇆ CBT-D,Railway Station-D4 → Rms → K E Board → Yammikeri → Head Post Office → Taluk Panchayat → Court Circle → Jubilee Circle → Cbt-D
1026,Bendre Nagar ⇆ Railway Station-D,Railway Station-D → Rms → K E Board → Yammikeri → Head Post Office → Brindhavan → Court Circle → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D → Kvg Bank → Gtc → Gtc Cross Sd → Bgs School → Bendre Nagar
1026,Bendre Nagar ⇆ Railway Station-D,Bendre Nagar → Bgs School → Gtc Cross Sd → Gtc → Kvg Bank → New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Corporation-D → Jubilee Circle → Court Circle → Taluk Panchayat → Head Post Office → Yammikeri → Rama Mandira → Rms → Railway Station-D
1027,Agri College ⇆ CBT-D,Cbt-D → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D → Kvg Bank → J D Office → Gtc → Pepsi Factory → Dairy → Yattin Gudda Cross → Agri University Gate → Admission Office → Agri College
1027,Agri College ⇆ CBT-D,Agri College → Admission Office → Agri University Gate → Yattin Gudda Cross → Dairy → Pepsi Factory → Gtc → J D Office → Kvg Bank → New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Jubilee Circle → Cbt-D
1028,CBT-D ⇆ Shiridi Nagar D1,Cbt-D → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D → Kvg Bank → J D Office → Gtc → Pepsi Factory → Dairy → Yattin Gudda Cross → Agri University Gate → Airtech → Basava Colony → Basava Nagar Colony 2Nd Stop → Gurukrupa Nagar → Shiridi Nagar Cross → Shiridi Nagar D1
1028,Shiridi Nagar D2 ⇆ CBT-D,Shiridi Nagar D2 → Shiridi Nagar Cross → Gurukrupa Nagar → Basava Nagar Colony 2Nd Stop → Basava Colony → Airtech → Agri University Gate → Yattin Gudda Cross → Dairy → Pepsi Factory → Gtc → J D Office → Kvg Bank → New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Corporation-D → Cbt-D
1029,Railway Station-D ⇆ Dharwad High Court,Railway Station-D → Rms → K E Board → Yammikeri → Head Post Office → Brindhavan → Court Circle → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D → Kvg Bank → J D Office → Gtc → Pepsi Factory → Dairy → Yattin Gudda Cross → Agri University Gate → Airtech → Narendra Cross → K E B (Power Grid) → Mummigatti 1St Cross → Mummigatti → Garag Cross → Tata Motors Gate → High Court Gate → Dharwad High Court
1029,Railway Station-D ⇆ Dharwad High Court,Dharwad High Court → High Court Gate → Tata Motors Gate → Garag Cross → Mummigatti → Mummigatti 1St Cross → K E B (Power Grid) → Narendra Cross → Airtech → Agri University Gate → Yattin Gudda Cross → Dairy → Pepsi Factory → Gtc → J D Office → Kvg Bank → New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Jubilee Circle → Court Circle → Brindhavan → Head Post Office → Yammikeri → Rama Mandira → Rms → Railway Station-D
103,Hosur Terminal ⇆ Byahatti,Hosur Terminal → Obs Sh → Court Circle Sh → Keshwapur Sh → Madhura Colony Sh → Shabiri Nagar Cross Sh → Srinivas Garden → Oxford College → Durga Colony / Neeli Bangle → Ram Honda → Kusgal Siddharuda Matta → Kusgal Maruthi Nagar → Ms → Kusgal → Kusgal Plot → Furniture Factory → Halla → M/S L1 → Byahatti 1St Stop → Byahatti 2Nd Stop → Byahatti
103,Hosur Terminal ⇆ Byahatti,Byahatti → Byahatti 2Nd Stop → Byahatti 1St Stop → M/S L → Halla → Furniture Factory → Kusgal Plot → Kusgal → Ms → Kusgal Maruthi Nagar → Kusgal Siddharuda Matta → Ram Honda → Durga Colony / Neeli Bangle → Oxford College → Srinivas Garden → Shabiri Nagar Cross Sh → Madhura Colony Sh → Keshwapur Sh → Court Circle Sh → Obs Sh → Hosur Terminal
1030,New Bus Stand-D ⇆ Railway Station-D,New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Jubilee Circle → Court Circle → Taluk Panchayat → Head Post Office → Yammikeri → Rama Mandira → Rms → Railway Station-D
1030,New Bus Stand-D ⇆ Railway Station-D,Railway Station-D → Rms → K E Board → Yammikeri → Head Post Office → Brindhavan → Court Circle → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D
1031,CBT-D ⇆ Railway Station-D,Cbt-D → Jubilee Circle → Court Circle → Taluk Panchayat → Head Post Office → Yammikeri → Rama Mandira → Rms → Railway Station-D
1031,Railway Station-D4 ⇆ CBT-D,Railway Station-D4 → Rms → K E Board → Yammikeri → Head Post Office → Taluk Panchayat → Court Circle → Jubilee Circle → Cbt-D
1032,Udaygiri ⇆ CBT-D,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Toll Naka - D → Modern Hall → Suvarna Petrol Bunk → Vidya Giri → Gandhi Nagar Cross - D → Yalakki Shetter Colony → Kmf - D → Lakamanahalli Corridor → Navlur K E B → Ozone → Navalur Cross → Dental Cross → Ashraya Colony → Tadasinakoppa Cross → Udaygiri 1St Stop → Udaygiri 2Nd Stop → Udaygiri
1032,Udaygiri ⇆ CBT-D,Udaygiri → Udaygiri 2Nd Stop → Udaygiri 1St Stop → Tadasinakoppa Cross → Ashraya Colony → Dental Cross → Navalur Cross → Ozone → Navlur K E B → Lakamanahalli Corridor → Kmf - D → Yalakki Shetter Colony → Gandhi Nagar Cross - D → Vidya Giri → Suvarna Petrol Bunk → Modern Hall → Toll Naka - D → Hosa Yallapur Cross → Nttf → Court Circle → Jubilee Circle → Cbt-D
1033,Madihal ⇆ CBT-D,Cbt-D → Shivaji Circle → Haveripete → Depot Circle → Murusavira Matta D → Joshi Hall → Siddharama Colony → Madihal
1033,Madihal ⇆ CBT-D,Madihal → Siddharama Colony → Joshi Hall → Murusavira Matta D → Depot Circle → Haveripete → Shivaji Circle → Cbt-D
1034,CBT-D ⇆ Kayak Nagar,Cbt-D → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D → Kvg Bank → J D Office → Gtc → Pepsi Factory → Dairy → Yattin Gudda Cross → Agri University Gate → Airtech → Narendra Cross → Kayak Nagar Cross → Kayaka Nagar 1St Stop → Kayak Nagar 2Nd Stop → Kayaka Nagar 3Rd Stop → Kayak Nagar
1034,CBT-D ⇆ Kayak Nagar,Kayak Nagar → Kayaka Nagar 3Rd Stop → Kayak Nagar 2Nd Stop → Kayaka Nagar 1St Stop → Kayak Nagar Cross → Narendra Cross → Airtech → Agri University Gate → Yattin Gudda Cross → Dairy → Pepsi Factory → Gtc → J D Office → Kvg Bank → New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Jubilee Circle → Cbt-D
1037,CBT-D ⇆ Mehabub Nagar,Cbt-D → Shivaji Circle → Ramana Gouda Cross → New English School-D → Gulganjikoppa School → Doddamani Hall → Hittina Girani → Gaadhi Karkhane → Sainik Nagar → Mehabub Nagar
1037,CBT-D ⇆ Mehabub Nagar,Mehabub Nagar → Sainik Nagar → Gaadhi Karkhane → Hittina Girani → Doddamani Hall → Gulganjikoppa School → New English School-D → Karnataka Bank D2 → Shivaji Circle → Cbt-D
1038,CBT-D ⇆ Shree Ram Nagar,Cbt-D → Jubilee Circle → Court Circle → Taluk Panchayat → Head Post Office → Yammikeri → Kamalapura Cross → Railway Gate → Hattikol → Halbavi Matta → Shree Ram Nagar Cross → Shree Ram Nagar 1St Stop → Shree Ram Nagar
1038,CBT-D ⇆ Shree Ram Nagar,Shree Ram Nagar → Shree Ram Nagar 1St Stop → Church Dwd → Shree Ram Nagar Cross → Halbavi Matta → Railway Gate → Kamalapura Cross → Yammikeri → Head Post Office → Brindhavan → Court Circle → Jubilee Circle → Cbt-D
1039,CBT-D ⇆ Dharwad High Court,Cbt-D → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D → Kvg Bank → J D Office → Gtc → Pepsi Factory → Dairy → Yattin Gudda Cross → Agri University Gate → Airtech → Narendra Cross → K E B (Power Grid) → Mummigatti 1St Cross → Mummigatti → Garag Cross → Tata Motors Gate → High Court Gate → Dharwad High Court
104,Byahatti Plot ⇆ Hosur Terminal,Hosur Terminal → Obs Sh → Court Circle Sh → Keshwapur Sh → Madhura Colony Sh → Shabiri Nagar Cross Sh → Srinivas Garden → Oxford College → Durga Colony / Neeli Bangle → Ram Honda → Kusgal Siddharuda Matta → Kusgal Maruthi Nagar → Ms → Kusgal → Kusgal Plot → Furniture Factory → Halla → M/S L1 → Byahatti 1St Stop → Byahatti 2Nd Stop → Byahatti → Sangolli Rayana School → Byahatti Plot
